"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","合計"
"0111 穀類","192.7405625413209","5310.163548123618","29.668295373790393","184.86452137044336","3.2453669809202843","1.212730094713322","7.194849058062103","-110.44856193757272","1.0555335635681053","3258.303154831135","8877.999999999998"
"0112 いも・豆類","2.4377781367302425","35.57461217618525","0.2786588453662705","2.031017673281522","0.034347749412948735","0.004028669967919057","0.007393037316962685","2.970468448024404","0.021162183933731957","123.64053307978082","167.00000000000009"
"0113 野菜","183.19394797149073","3857.3604185638856","25.32464856910434","160.5469264354503","2.3434705596148127","0.2813888589941263","0.36598957274382715","11.818857280964927","0.946284518246585","11076.818067669496","15318.999999999993"
"0114 果実","180.3267110546398","3212.781610134462","30.961294305803918","152.0280772446231","2.1785604251962853","0.33617556685035116","1173.971094579166","4.924669234519451","4.4182979519477446","69043.07350950279","73805.0"
"0115 その他の食用作物","0.31772297912811","5.872274351851403","0.023011521484815403","0.20338342759171732","0.00953060089970968","0.006264058311517394","0.33187824729545934","0.20814641257654237","0.017043493847931225","53.01074490701285","60.00000000000006"
"0116 非食用作物","26.571412038650166","506.63125787103735","4.317268640761911","7.759966510164229","0.6294662872676371","65.06838120880333","31.932620964253484","2.645716169254875","25.61925839005108","8748.82465191975","9419.999999999993"
"0121 畜産","119.9923237830025","1679.2572642850494","9.564840693903712","83.50752185512525","2.9016127491323545","0.7345972238340486","136.07499073351164","7.810940584141307","2.0945865079462904","3650.0613215843605","5692.000000000007"
"0131 農業サービス","45.970473749093834","1701.0659076905217","20.386711254591628","65.60390014478273","6.367662019304498","0.9966094942277411","61.20583065694033","-6.829987574202665","0.6347215914878171","3651.5981709732523","5547.0"
"0151 育林","0.08654454365149533","1.6033010423439449","0.037602617735837236","0.24873627075416965","0.04514126678595791","3.572608034611085","14.625136588162636","2389.964446637996","0.03841320879640659","675.7780697891615","3085.999999999999"
"0152 素材","0.2723514304750163","5.0455096756052225","0.11833359213493919","0.7827608338165704","0.14205735062995567","8.047201670749358","46.02458690773593","1.8059017865757352","0.12088448241134221","2126.640412269867","2189.000000000001"
"0153 特用林産物","15.895825718917756","233.3612685294533","0.8559732744054588","6.561215549503006","0.1363186874144745","0.8971919994279952","0.6249159764807579","0.47764735209963555","0.07383980064817898","1688.1158031116513","1947.0000000000018"
"0171 海面漁業","42.98865715365188","535.8707286653706","3.836331617084093","27.495390830090773","0.3911158684263808","0.17536129489475655","0.5689756125169319","9.678814689578292","12.073838121405057","12276.920786146984","12910.000000000004"
