"""","0111 穀類","0112 いも・豆類","0113 野菜","0114 果実","0115 その他の食用作物","0116 非食用作物","0121 畜産","0131 農業サービス","0151 育林","0152 素材","0153 特用林産物","0171 海面漁業","0172 内水面漁業","0611 金属鉱物","0621 石炭・原油・天然ガス","0631 砂利・砕石","0639 その他の鉱物","1111 食肉","1112 畜産食料品","1113 水産食料品","1114 精穀・製粉","1115 めん・パン・菓子類","1116 農産保存食料品","1117 砂糖・油脂・調味料類","1119 その他の食料品","1121 酒類","1129 その他の飲料","1131 飼料・有機質肥料（別掲を除く。）","1141 たばこ","1511 紡績","1512 織物","1513 ニット生地","1514 染色整理","1519 その他の繊維工業製品","1521 衣服","1522 その他の衣服・身の回り品","1529 その他の繊維既製品","1611 木材","1619 その他の木製品","1621 家具・装備品","1631 パルプ","1632 紙・板紙","1633 加工紙","1641 紙製容器","1649 その他の紙加工品","1911 印刷・製版・製本","2011 化学肥料","2021 ソーダ工業製品","2029 その他の無機化学工業製品","2031 石油化学基礎製品","2041 脂肪族中間物・環式中間物","2042 合成ゴム","2049 その他の有機化学工業製品","2051 合成樹脂","2061 化学繊維","2071 医薬品","2081 油脂加工製品・石けん・界面活性剤・化粧品","2082 塗料・印刷インキ","2083 写真感光材料","2084 農薬","2089 その他の化学最終製品","2111 石油製品","2121 石炭製品","2211 プラスチック製品","2221 タイヤ・チューブ","2229 その他のゴム製品","2311 革製履物","2312 なめし革・毛皮・その他の革製品","2511 ガラス・ガラス製品","2521 セメント・セメント製品","2531 陶磁器","2591 建設用土石製品","2599 その他の窯業・土石製品","2611 銑鉄・粗鋼","2612 鉄屑","2621 熱間圧延鋼材","2622 鋼管","2623 冷延・めっき鋼材","2631 鋳鍛造品","2699 その他の鉄鋼製品","2711 非鉄金属製錬・精製","2712 非鉄金属屑","2721 電線・ケーブル","2729 その他の非鉄金属製品","2811 建設用金属製品","2812 建築用金属製品","2891 ガス・石油機器・暖厨房機器","2899 その他の金属製品","2911 ボイラ・原動機","2912 ポンプ・圧縮機","2913 運搬機械","2914 冷凍機・温湿調整装置","2919 その他のはん用機械","3011 農業用機械","3012 建設・鉱山機械","3013 繊維機械","3014 生活関連産業用機械","3015 基礎素材産業用機械","3016 金属加工機械","3017 半導体製造装置","3019 その他の生産用機械","3111 事務用機械","3112 サービス用機器","3113 計測機器","3114 医療用機械器具","3115 光学機械・レンズ","3116 武器","3211 電子デバイス","3299 その他の電子部品","3311 産業用電気機器","3321 民生用電気機器","3331 電子応用装置","3332 電気計測器","3399 その他の電気機械","3411 民生用電子機器","3412 通信機械","3421 電子計算機・同附属装置","3511 乗用車","3521 トラック・バス・その他の自動車","3522 二輪自動車","3531 自動車部品・同附属品","3541 船舶・同修理","3591 鉄道車両・同修理","3592 航空機・同修理","3599 その他の輸送機械","3911 がん具・運動用品","3919 その他の製造工業製品","3921 再生資源回収・加工処理","4111 住宅建築","4112 非住宅建築","4121 建設補修","4131 公共事業","4191 その他の土木建設","4611 電力","4621 都市ガス","4622 熱供給業","4711 水道","4811 廃棄物処理","5111 卸売","5112 小売","5311 金融","5312 保険","5511 不動産仲介及び賃貸","5521 住宅賃貸料","5531 住宅賃貸料（帰属家賃）","5711 鉄道旅客輸送","5712 鉄道貨物輸送","5721 道路旅客輸送","5722 道路貨物輸送（自家輸送を除く。）","5731 自家輸送（旅客自動車）","5732 自家輸送（貨物自動車）","5741 外洋輸送","5742 沿海・内水面輸送","5743 港湾運送","5751 航空輸送","5761 貨物利用運送","5771 倉庫","5781 こん包","5789 その他の運輸附帯サービス","5791 郵便・信書便","5911 電気通信","5919 その他の通信サービス","5921 放送","5931 情報サービス","5941 インターネット附随サービス","5951 映像・音声・文字情報制作","6111 公務（中央）","6112 公務（地方）","6311 学校教育","6312 社会教育・その他の教育","6321 学術研究機関","6322 企業内研究開発","6411 医療","6421 保健衛生","6431 社会保険・社会福祉","6441 介護","6599 その他の非営利団体サービス","6611 物品賃貸業（貸自動車業を除く。）","6612 貸自動車業","6621 広告","6631 自動車整備","6632 機械修理","6699 その他の対事業所サービス","6711 宿泊業","6721 飲食サービス","6731 洗濯・理容・美容・浴場業","6741 娯楽サービス","6799 その他の対個人サービス","6811 事務用品","6911 分類不明"," 行和"," 感応度係数"
"0111 穀類","1.0109879582343435","0.0008048239564239562","0.006593333883629988","0.006919938178360134","0.019084095316389233","0.015004322470018488","0.04441790767057691","0.010427340530537565","0.000016142189865927904","0.000027736962816828157","0.03585419853831015","0.002312733120876192","0.017238436660630747","0.0","0.0","0.00008049522161223579","0.0","0.03344230973845581","0.014891720914004746","0.0016809553198045039","0.8583185915453888","0.06855277885005846","0.0021122794535486113","0.013943320689449807","0.06546351584232792","0.030164253613377687","0.002403732230552817","0.07724525981737848","0.0","0.002630161179229122","0.0006088233309967348","0.0005619364031668559","0.0001108732097019592","0.0004950156562113486","0.000344880752876536","0.000509097046299158","0.0006492357060766804","0.0020246447000136208","0.0006588863658079829","0.00033455717808307555","0.0","0.00007433076728899996","0.00013337029459887335","0.0000797349190937947","0.00006993728624226666","0.00004085335784243366","0.000041953795928269984","0.000054658022762249724","0.00009052228862443164","0.000016276111113034444","0.00006232134833993693","0.0","0.00034978007227553197","0.00008884446978089335","0.0000424014154997837","0.0003216255820815117","0.0006840381303314665","0.00024011835664830024","0.00010011702010441496","0.00011119898039050733","0.0004326674935121304","0.000003159010515079415","0.000007519520866797728","0.00006259642436208452","0.002740410751572749","0.0008428028010058961","0.0014059954237218117","0.008473592313336782","0.000028113614000910726","0.00004395831134699835","0.000002862315174436595","0.000013672050274272803","0.00009325566345950476","0.000013019212907720105","0.0","0.00002538813150059927","0.00004520828556783656","0.00003772450941574986","0.000051225668073207213","0.00003415405132472486","0.00002016401389894531","0.0","0.00006544676264798285","0.00003142107757425133","0.0000396076998957112","0.00003968817894752988","0.00002102097331201129","0.000030512074892433233","0.00004479025537918435","0.000050470519573635455","0.00006711208142478551","0.00007257667051008584","0.00004080610516447355","0.00011753378228277934","0.0001704499060938085","0.00005408195233248209","0.000054845273489642595","0.00005505736626833745","0.00004618061224473007","0.00007024964161493842","0.00005448182147853226","0.00008837136156277932","0.00006138950055430375","0.0000844633520081139","0.00008269273111670689","0.00014395123746783773","0.0","0.00006939340435718394","0.0000763920669153035","0.00007762924314436978","0.00007709873092411588","0.00007226197355155004","0.00009212375613304989","0.000053888345559350926","0.00004972070338177844","0.00008011094681694687","0.00006735900742922706","0.0","0.0","0.0","0.00008588723785224563","0.00006355057759849224","0.00005618282354654898","0.0","0.00009507210164978257","0.000290722710612466","0.005112246432364902","0.000029527084149609227","0.00019796462748462783","0.00009542679824070107","0.00009771481061768663","0.00009709763901937276","0.00007731601894617055","0.00002018414844161944","0.00003788819536930255","0.00002587438003134317","0.000043078350912924915","0.00003738760126327168","0.000028326456403723157","0.000041804412178904026","0.00002427616096774167","0.00003113845449707882","0.000021639123599945787","0.00002232537293494083","0.000007366298431792838","0.000029840394501281576","0.00003110056871535067","0.000026461104545684243","0.000026429600070631033","0.00008008015937314514","0.0001272953853091558","0.00002623898786723955","0.000049976142162645985","0.000029072423194579056","0.00004394448810721832","0.00002891215167282997","0.00003229211542597459","0.00010979234124796264","0.00007117182324622344","0.000013938582935031984","0.00006788814186139477","0.00007296729895000281","0.0000771476514934142","0.00005709465083927974","0.00007528662430701672","0.00014171960984853376","0.00013722739842072452","0.00003894273614408385","0.00002299069720770209","0.00047849682422887853","0.00044415689575917","0.0003825253559052392","0.0004741959924304166","0.00004216522657068433","0.003454813955162571","0.003197001726384806","0.0006902505979233315","0.00007248547539537184","0.00003781699641025366","0.00008100644319408311","0.00025533026779476093","0.000058353183675308905","0.00005418495937652929","0.013160883154549224","0.019475166137686708","0.00006148517724594576","0.00020088288921292087","0.0015187801120155817","0.0008116525714216681","0.0005329706588904856","2.4197414568738336","1.0917062967221736"
"0112 いも・豆類","0.0002444022940053005","1.077556349617131","0.006821608354822597","0.00015683291848986303","0.00048526500113335466","0.00013916900894949953","0.008474451140370699","0.0005112869297323285","0.000004794387961368757","0.000008852899383664746","0.0007439399803572508","0.0006814351650486514","0.004235909529861209","0.0","0.0","0.000020088240795227702","0.0","0.006383724953634541","0.004115856422965943","0.0017839664675961353","0.00020921900278581134","0.013426363438492404","0.01623569455503279","0.05859428860603338","0.020294123054750545","0.010361265605231155","0.00511346786418474","0.01873823134947499","0.0","0.00011658208323709712","0.0002533228369639411","0.0000464364602850508","0.00016573483970717533","0.00009113422080753491","0.0000601219180932109","0.00008697908022172299","0.00010395336581071752","0.00004134878373335282","0.00003664111842681326","0.00005407373911076969","0.0","0.0002551408403022349","0.00046173347312830523","0.00022152931189477903","0.00007628795510299311","0.00007410828306362411","0.00003088302653327318","0.00002774326303962793","0.00008128425602369793","0.00001032314876250407","0.00006986039306043817","0.0","0.0008789849873869337","0.00010454717789613939","0.00003508085645838289","0.0004647867592531755","0.0025627787541948398","0.0006977604622752812","0.0001439330854638933","0.00013310499691154265","0.0007567794213898239","0.000001858106389366524","0.000004592296035876173","0.0000654501151707055","0.0000687001963331454","0.00007551516652380002","0.0002771494041145919","0.0017549333748452763","0.000028369854443727227","0.000022758494161488765","0.000000935574805617924","0.000023930156386616123","0.00019381095348472207","0.000006265194833115074","0.0","0.000007826327502389694","0.000009596090328495014","0.000011404340784555765","0.000020614328461989635","0.000010917583680722887","0.00000750908684465159","0.0","0.00003055149970226612","0.000011958270120276666","0.000020592469391984064","0.000012122553058702773","0.000010680023661281086","0.000015885732138716973","0.000014030154125328591","0.000015329521282736095","0.000022349902396626142","0.000028662788113717978","0.000017238524163226996","0.000020780578145654883","0.00002061282159509565","0.000021912799815649376","0.00001851966765173068","0.00001700833069894283","0.000016787695236766737","0.000024620852054992752","0.000020211944776065192","0.00005402597902229891","0.000018825051278391513","0.000022981038728724694","0.00003128366923031108","0.00003803530948560073","0.0","0.000029972336646635167","0.000028963173229090957","0.000027400342483355605","0.000033428360353212824","0.000025648363966240236","0.00002604698671378814","0.00003270108643754949","0.00001860807029365305","0.000022332400459164455","0.000027003960546456626","0.0","0.0","0.0","0.0000346815409874722","0.00003689098362039196","0.000032789701538623445","0.0","0.000024090179258096985","0.00005513004525414722","0.000083975320531091","0.000007150100488872077","0.000024329371653923098","0.000019563440161351773","0.000022701803057446332","0.000015503488649167323","0.000015711543397656515","0.000005712806557598967","0.00001060059229429261","0.000009262520701150028","0.000013957987481740275","0.000011573124897062867","0.000008433216472430646","0.00001148859598601874","0.000006533829569281122","0.000009199804776527182","0.000005895734855539404","0.000007884397557232654","0.000001850417883059911","0.000010758031585406914","0.000012365412192518117","0.000004491471637157257","0.000006565482323249867","0.00001319647753182194","0.000014229908393156168","0.000007475582735786535","0.000011566948613958317","0.00000834104313225679","0.000012343608329713631","0.000009452254840977189","0.00001178571585918197","0.00004746536473720648","0.000015598761863951946","0.000003723861872000133","0.000015482025461800046","0.000013756277791901241","0.000014893359843805296","0.000011920049115488006","0.000017668982367008145","0.00004058111989043183","0.000014396838777015857","0.000008898025610082162","0.00000757197536879353","0.00006608608896864394","0.00010501258343413906","0.00009008904116514356","0.0001597839944089961","0.0000345897761735749","0.0007367765843167127","0.0006355584031272352","0.00002702309964450998","0.000012547161901349019","0.000009218425275054396","0.000022834404047428018","0.00003259669817285772","0.0000178199792060677","0.000013647204525969237","0.003101559263674778","0.004928664155727982","0.000060980573218652465","0.000030800199602509376","0.00024201764421699577","0.0000858528314962621","0.00026643673326796305","1.2783621485619745","0.5767541830189675"
"0113 野菜","0.000056252353359477335","0.000031603925942334954","1.000507687208435","0.00004093704406807901","0.0001040816948067421","0.000032572628922594585","0.0016871371592250433","0.00011205413245826238","0.000005405785572188793","0.000011644912877905427","0.0010116113109043712","0.0002899482268444977","0.0008757138540783232","0.0","0.0","0.000011844804397811158","0.0","0.001277549828470865","0.0035098400995345652","0.0016528530877532224","0.000049286822382740976","0.008095143426012716","0.15920696288385913","0.01672630333146557","0.028279388380204083","0.0010464428526360413","0.004597181125399667","0.00362783741117312","0.0","0.000029776843166430607","0.00007359024731879234","0.000014982132798440264","0.00005005354724260786","0.000026781711223649317","0.000020451511824505678","0.000025134710278091094","0.000029250023003758864","0.000019015222440431095","0.000016278440945098355","0.0000197393410307065","0.0","0.0000741161713374056","0.0001347798179984032","0.00006685393052818854","0.000024661992375372168","0.00002406983761462724","0.000011453916871089734","0.000011542037760630522","0.00002934285481512261","0.000004077585916212654","0.000022768846412582827","0.0","0.000253549204071768","0.000033084654769063374","0.000011636424086020358","0.0001417158651224078","0.0007354731253642511","0.00020429887269413064","0.000043032686653923666","0.000046579827567243644","0.00021004412719622588","0.000000907188786151916","0.000002624427112233012","0.00002199932652060858","0.000021614384715413874","0.00002542330378404837","0.00007135714445279898","0.0003859659197545549","0.000009835509613143304","0.000012571723725882953","0.000000849141678862681","0.000007929538046153934","0.000058488852911486114","0.000004468066432604207","0.0","0.000005185235058440747","0.000006282938763687547","0.000006878460807637475","0.000010973554774696634","0.000008241737844425186","0.00000468292662238539","0.0","0.000015473282139310032","0.000006511723048850983","0.000010092601482463124","0.000006957614104565814","0.000005388114191761911","0.000008538390226731898","0.000009642118542514079","0.000011010461925573385","0.00001498375173492325","0.00001746061769339443","0.000011019916858181136","0.00001164184951948004","0.000012380727277439639","0.000012743967259446722","0.000012711559366363039","0.0000110626647638174","0.000010893310302298497","0.000011961290144358993","0.000011334098669830483","0.000021534567920890346","0.000007148662651138822","0.00000937712949608894","0.000012547293738451753","0.000013299198794599996","0.0","0.000010817669056156875","0.000011234811537825877","0.000012176104698213927","0.000013219449765149127","0.000009628389538127694","0.00001118196391992953","0.00001314560487691168","0.000006794978739828003","0.000009670089264575785","0.000010076970449476736","0.0","0.0","0.0","0.000012524255934564129","0.00001645027323668621","0.000018898451305261274","0.0","0.000013037604494743584","0.000020001743329870608","0.000026780425258471034","0.000007214622344472797","0.00001481906110266116","0.000014996926731425313","0.00001525111676416892","0.000012021555300094807","0.000012433895052052386","0.000005012772344075695","0.00000591579947931637","0.000009520110403390006","0.000012969601363870417","0.000006103810802940876","0.000008433369681337583","0.000009723258485548141","0.00000544714699949625","0.000008993088058747189","0.000008054381657182769","0.000010775079591533525","0.000001913171763783441","0.00001248947850669346","0.000010948509825555397","0.000006016262773098995","0.000008018043045468638","0.00001830140331951583","0.000012676865236419902","0.00001163958839575145","0.000015740274592257967","0.000009308938720188217","0.000029532806062214576","0.000008540327056801332","0.000011603144107301105","0.000017073495262814586","0.00007978054486621416","0.000003099151010933189","0.000011084947797465236","0.00001108620653834688","0.00002540039111175101","0.000010117283569018471","0.000013395899551129923","0.000030103288315296323","0.000085945761480391","0.000007269932397525635","0.000008214096183774471","0.00002033268080287839","0.00003190579019769245","0.000025643612220604512","0.0005186765226365787","0.00001627382846388454","0.003794959282216192","0.0030012330289136656","0.0003071030929043581","0.000008301373963381873","0.000014428985006720394","0.00002236163396578197","0.000015131863274657167","0.000011162371843461813","0.000011632405862621751","0.012175872511046912","0.01631131216262568","0.000023538944128665507","0.00014118194072227592","0.0013786576057970847","0.000028323769254044137","0.0003781279501764949","1.27527619964355","0.5753619062300417"
"0114 果実","0.000007877478846522697","0.000004693081042367233","0.000007676863565619486","1.000007018947587","0.000012149945820401512","0.000004849491233679392","0.0001593890600363669","0.0000134851431650146","0.000002208790209892503","0.000004950205227968493","0.0005398055231382569","0.00017700130789306573","0.00008436382750399993","0.0","0.0","0.000005307250136917329","0.0","0.00012404769880057018","0.00030353280466123344","0.0005212221177354505","0.000007585748545942873","0.00467700088873556","0.030062738508813705","0.0011613979764866491","0.015158021013877419","0.0017832440852000478","0.00881336211944132","0.0002690222203193325","0.0","0.000004831391349759746","0.000007903292047262344","0.000004070766275752052","0.000006347628133161055","0.000005033463600828916","0.000004862994614426826","0.000004981716343434407","0.000005496517911201259","0.000005466579285618292","0.000004776918112738872","0.000004557055724396682","0.0","0.000006145612711209313","0.000011560662343436602","0.000007726630047084585","0.000004068960995995827","0.000003832184065784727","0.000003658471456857075","0.000004452365651793025","0.000009363995141614185","0.000001288596723815686","0.000004866324142114322","0.0","0.00002049158107694496","0.000005830050799309871","0.000002656706153194046","0.000015342883803581528","0.000054894619180120296","0.000017654684532251423","0.000005250666367366264","0.00000911444446211","0.000018007915413908974","0.000000361276601038311","0.000001134215597548424","0.000004422967782663266","0.0000054431161534739","0.000004750738033414413","0.000011655303974398578","0.00004403544052742518","0.000002250024101691912","0.000005167490715798636","0.000000461314506791386","0.000001319235522505354","0.00000639100684723063","0.000002506633619668523","0.0","0.000002900627294262051","0.00000332793563369357","0.000003305916786380982","0.000004149685985122041","0.000004128735070371337","0.000001963522934139458","0.0","0.000004998730412256287","0.000002659835690653566","0.000004262993007304103","0.000002965416165312821","0.000002110819924135301","0.000003420799036466948","0.000004049250675901409","0.000005771874684953595","0.000006226396978187339","0.000008207490241922564","0.000005459798624251204","0.000004479071384770166","0.00000492563009644809","0.00000483990262176449","0.000008259232297717418","0.000004746000743065926","0.000004518403783504321","0.00000524926277099812","0.000005656366079545891","0.000005864245360799429","0.000002357480658202301","0.000003294317523096719","0.000004157802567713088","0.000003969586128698826","0.0","0.000002856109472785611","0.000003560672570069991","0.000004121224013286697","0.000003674632918293841","0.000002872216872395963","0.000004009851161455992","0.000004087813482272532","0.000002008613290282129","0.000003159730834091859","0.000002877634064817041","0.0","0.0","0.0","0.000003204162760701363","0.0000049517579627411","0.00000650998420753244","0.0","0.00000456468969206623","0.000005387489762238693","0.000006969525849657331","0.000004215707067554474","0.000005223074382932023","0.00000644053665631096","0.000006609200482737744","0.000005366386644445563","0.000005562668394307286","0.000002853870923732758","0.000003963243306084991","0.000004424270561327612","0.000009167871248798003","0.000003073626578733296","0.000004713182973666934","0.000004752841942033561","0.000003187686024473364","0.000005439064669931284","0.000003974354528731172","0.0000051951552534607","0.000000906447096005046","0.000005542424256836498","0.000004438416992531646","0.000004028488918465015","0.000004226186448296309","0.00000897434630887221","0.0000059853201461832","0.0000064255707651752","0.000007875251487338604","0.000004770732285611417","0.00001431339778941181","0.000004161252021902204","0.000007233065548942296","0.000003464740002233563","0.00004087505552765937","0.000001277463462274264","0.000004868070524359474","0.000006185780214015339","0.000009809365214977774","0.000004532077466563488","0.000006162836636700412","0.000008891886115271296","0.00002299847081380393","0.000003459284846044132","0.000003475766809818585","0.000004844527004179884","0.000007712111340065387","0.000006747298766005704","0.0002051801357445149","0.000004592681626697751","0.0018923621120897345","0.0015013310635005395","0.0006033391806518422","0.000003882495244336392","0.000008884416035051902","0.000008867441644480615","0.000005235064429572428","0.000005048823737859643","0.000005919760393229124","0.005666334239565826","0.007057870787947584","0.000005233652428027312","0.000011428820747942165","0.000604393014515805","0.000005253735182898646","0.00015771795260944262","1.082514653535097","0.4883943531244406"
"0115 その他の食用作物","0.003498590050323421","0.0018174325440255444","0.002772221238398761","0.0020235864272610277","1.007151302501971","0.0018734530293478414","0.1262742656420715","0.007351408354807848","0.000009039125957211513","0.00001853142153873723","0.0006081964943842206","0.007887271873949123","0.0643316172648761","0.0","0.0","0.000055929053560260515","0.0","0.09503791825296794","0.04060203298759738","0.004648678849399939","0.0029741864430010002","0.012105145436242856","0.003638404425859307","0.06559159311102027","0.01225672033589938","0.0025880751113163563","0.0069974402594456375","0.2893114776428686","0.0","0.001275475114277342","0.0006303639644475502","0.00032980465614833266","0.000250680676874164","0.0005955291549197858","0.00022924628014692574","0.000732477988288358","0.0008563521251453033","0.0000813709716077052","0.00007050197118242557","0.00011046709594822368","0.0","0.00030402030565085137","0.0005387758429616519","0.000274711046423024","0.00014306860769599232","0.00010948472015588601","0.0000877462366656494","0.0001204961643301928","0.00020990719832514925","0.000034626349746740084","0.00016141513359877406","0.0","0.001194404068214662","0.00024223761422060173","0.0001123111761789647","0.0009556828519658101","0.0030175017384229006","0.0009158775345968811","0.0002940853167176372","0.00029383702031872617","0.001308946725160693","0.000006291953507924873","0.000010341068613172769","0.00015169740798748256","0.0004424509005279252","0.0002369495106700827","0.0033178044255938893","0.02293090470289726","0.00007000764459658872","0.000055866445795492884","0.000002703841685510269","0.000031961812443707756","0.0002549073280758113","0.000017610020311665435","0.0","0.00003035942096348721","0.00004867477897356817","0.00004461564451848127","0.000051012995523370024","0.00004120788934181712","0.00003487641679175771","0.0","0.00009275017376020802","0.00005496290118973357","0.000060303517221164723","0.000046881983274930465","0.00003303690631502654","0.000041758633312490675","0.00006879192587952932","0.00006295598772869762","0.00008718501920527574","0.0001171905138271792","0.00006033793710436944","0.0001010664020390812","0.00008907655419505276","0.00006696164627112143","0.00008538157266301162","0.00006786844816736115","0.00006644372361338503","0.00015496778548182056","0.00007658750106840379","0.00015085232706006567","0.00015692558049196955","0.00018212748624099885","0.0001438097788207471","0.00032983724070193563","0.0","0.00015072260158074165","0.0001643673512875473","0.0001441947412823393","0.00015329446926121325","0.00017663659969094196","0.00014598609761683068","0.00010131068126173736","0.0001251475534897775","0.00013945332091440385","0.00016095900911796156","0.0","0.0","0.0","0.00015484147387529398","0.00008123755039585663","0.00006053945268190046","0.0","0.0001060501251109918","0.0003639245177904958","0.0005696187292111351","0.000024425165218372787","0.00004950366199335278","0.00004683180597813752","0.0000498292246643321","0.000051847984675864955","0.00004327095250995139","0.000021439927360149314","0.0000740771320294175","0.00002731512811255243","0.000034204567813141354","0.00002968789978152103","0.000023450305032688098","0.00004823552006364632","0.000018031097527685557","0.000025013872535656136","0.000012965348520252851","0.000014633343586894093","0.000004314846456667951","0.00002878373645314655","0.000030045307099940775","0.00001392076266029729","0.000016470776591547095","0.00003939214121267798","0.00004725503612188219","0.000020302224036084287","0.000033201167266386623","0.000022203447529406512","0.000027980692144103357","0.000021224635582283773","0.00002629144711283938","0.00006987303218799275","0.000029400277008230532","0.000012803359050191027","0.00010580923118441555","0.00008274291245307447","0.00006275228459608812","0.000045589558045334796","0.00010999335664807598","0.00009148092751237342","0.000038520290341469824","0.000022092575004990363","0.000014563057425164463","0.0008850496466402904","0.0013839266340770668","0.0011552746037672005","0.00028869109935008604","0.0000682270519483168","0.0007933375079169324","0.0007203383077127336","0.00007241452897823269","0.00005460093526777416","0.000020226392150033904","0.00006357913662583057","0.00010854283569081908","0.00006995384168581825","0.000029126429246730234","0.003233209584430873","0.007286735457152209","0.00008709100844635795","0.00031396098181342647","0.00042826333893108997","0.00021414524204582184","0.00039350522628643365","1.8291644833667426","0.825257747499986"
"0116 非食用作物","0.001203811042615693","0.0013779888150902643","0.027619113511585042","0.006521864389833765","0.0017311484811785144","1.1504405587692272","0.049205894110481256","0.0037508856821532855","0.00017445413255835385","0.0008355372341469671","0.0009104287979134426","0.0014616363756328212","0.00387505973161108","0.0","0.0","0.0028171865231432116","0.0","0.03720875835662878","0.015591836895728638","0.0007825155897451656","0.0010955873242801362","0.001762546436287078","0.004906334656017459","0.0015392764445454675","0.003854772892173244","0.00031498469421354237","0.0014099747176444034","0.015639293614671063","0.0","0.17435789191856965","0.03300218450117594","0.034910205707342525","0.0024733097723780915","0.022619450480866544","0.0126791416192935","0.010390839641959838","0.02605630906604193","0.0006232895268020711","0.0006047390631311602","0.0006696993649920233","0.0","0.00015050936746163388","0.00032342152768240445","0.00032816095781135315","0.0014097725238675163","0.00028360147435786015","0.0004023128205995246","0.00028863177482474036","0.00030084408988964606","0.0001162776368646735","0.0004318024965717837","0.0","0.0029207293672380724","0.0005082030101030044","0.0002224776846934209","0.0036305526055899137","0.0005240862750842547","0.000571602776153397","0.0005074244914493094","0.0005489942287453273","0.002605804433776412","0.000020757615618283955","0.00008346292405492738","0.00047951603873145027","0.20710798601440122","0.06067363736399559","0.0060264013721112375","0.010377339897316734","0.0001544759053609834","0.0007527182507474353","0.00004154424382240995","0.00011314265494594461","0.001271485173023318","0.00013031469904437263","0.0","0.00018606886018085974","0.000381134775811765","0.0002775029276392501","0.0002725927401687983","0.00025723996002835963","0.0001705926769227975","0.0","0.0011109819816657875","0.0002246110468282501","0.0004535710002065819","0.0004869908538215641","0.00017246691146585312","0.00026371680668841853","0.0006159317371256914","0.001057629254318177","0.0014380464412707562","0.0009479870227471525","0.0004928213294092046","0.005507120116222405","0.009973720739423955","0.0010976942687696814","0.0006153890049846124","0.0014194336583898738","0.0005108773337028434","0.00048598163722299455","0.0006018423426656417","0.0011306013876342452","0.0003134501481624173","0.0005508334637553491","0.0009191059509431622","0.0003859291607252779","0.0","0.0008649543363197052","0.00040974230704008205","0.0009811055747997732","0.0011008262002780457","0.00040072538314201925","0.0005231879230583025","0.0005075386189419001","0.0002544625910998409","0.0003986201055733505","0.0003853572557497291","0.0","0.0","0.0","0.0016910811906158142","0.001443556504210754","0.0010733362894254804","0.0","0.003556411683974451","0.003003407081399521","0.0037862016781860385","0.0006563344688796689","0.0010139070807390418","0.0019095722525948014","0.0004910684530785383","0.0035209815874945286","0.0021224352189562006","0.0001758997087712029","0.0001556791488754622","0.0001678920802484953","0.0003252365185536268","0.0009098046447684059","0.0004362290664282257","0.0006905106279249985","0.00016022818851298202","0.00016341332554175878","0.00013703445039687416","0.00010687927006649433","0.000047497517731607975","0.0002053354246358893","0.0003026804011904029","0.0007781737143936527","0.0007404450515583915","0.003771138700816619","0.007580618497516311","0.0003028439161635355","0.000772277747288931","0.0004230925733350127","0.00021200422362805635","0.0004218672206168921","0.00019784838660692622","0.0003976177266518234","0.00021431098365516595","0.00018671981689995758","0.00022896893314529716","0.0001961715980137414","0.00040925670358935885","0.0002456390513895535","0.00030602720461472426","0.00046539464919451","0.0003592383785999787","0.0004892892881482195","0.00010710998611774937","0.0015180145253555575","0.0006121825027706067","0.00034254625902978855","0.000888352960732727","0.0004443911444346002","0.0009088989284966946","0.000642269972140207","0.0016952528265402145","0.0005722507454177786","0.0009166183040678625","0.00037518874918440656","0.015919008728374744","0.0012264739516139025","0.0002079721676162282","0.0023305896360784734","0.0031217630797658823","0.00042813184389019546","0.0024083398548532657","0.007821307535573585","0.0022070929523020353","0.0011306756844421306","2.0886508779803266","0.9423293173194202"
