"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","合計"
"3332 電気計測器","1.5457292728478546E-7","4.839068621133148E-6","1.706491234645605E-7","1.9608106299695127E-5","6.524587063754104E-6","2.69582239697459E-4","0.0022625311692227963","-9.111829592131195E-5","0.03766363974808637","0.9598640681548793","1.0"
"3399 その他の電気機械","8.241107913698213E-4","0.07336333056228109","1.6553446557985687E-4","0.003017801378088494","5.966076768929325E-4","0.012565508969738319","0.05198889698520633","0.025388097294998555","0.011187946235427411","0.8209021656404171","1.0"
"3411 民生用電子機器","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"3412 通信機械","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"3421 電子計算機・同附属装置","3.914740168195931E-6","0.02156086225996788","3.90435085212801E-6","3.0327035448466634E-5","6.8022039693826295E-6","0.002802256066863527","0.02153546374947472","-0.0012310587159202367","0.030002414205186716","0.9252851141039893","1.0"
"3511 乗用車","-","-","-","-","-","-","-","-","-","-","-"
"3521 トラック・バス・その他の自動車","-","-","-","-","-","-","-","-","-","-","-"
"3522 二輪自動車","-","-","-","-","-","-","-","-","-","-","-"
"3531 自動車部品・同附属品","1.1824502726861624E-5","0.001229965217138511","7.5721259860460395E-6","1.41067840257519E-4","4.5450837366458494E-5","7.127150804620796E-5","7.348020671095259E-5","-4.553828941755422E-5","0.0061160875851437565","0.9923488184660412","1.0"
"3541 船舶・同修理","3.627001611544257E-4","0.016277181745982066","1.8741820247410125E-4","0.030112633775036802","0.00991472126517047","0.030930369331389086","0.23455755635521866","-0.005777595783808273","0.011505026411672914","0.6719299885357097","1.0"
"3591 鉄道車両・同修理","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
